character,desc,unicode_hex
ʰ, modifier letter small h, \u02B0
̥, combining ring below, \u0325
˯, modifier letter low down arrowhead, \u02EF
̃, combining tilde, \u0303
̰, combining tilde below, \u0330
̚, combining left angle above, \u031A
˞, modifier letter rhotic hook, \u02DE
̩, combining vertical line below, \u0329
̪, combining bridge below, \u032A
̬, combining caron below, \u032C
̘, combining left tack below, \u0318
̙, combining right tack below, \u0319
̝, combining up tack below, \u031D
̆, combining breve, \u0306
̠, combining minus sign below, \u0320
̤, combining diaeresis below, \u0324
̹, combining right half ring below, \u0339
̴, combining tilde overlay, \u0334
˺, modifier letter end high tone, \u02FA
̊, combining ring above, \u030A
̞, combining down tack below, \u031E
͡, combining double inverted breve, \u0361
̻, combining square below, \u033B
